key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_gb8_m5,gb8,5,-5.4,2.629,4.871,-0.2571,13,13,0.2608695652173913,0.06896551724137931,0.1,0.045454545454545456
h11_gb8_m6,gb8,6,-5.4,3.3,5.347,-0.2571,16,13,0.30434782608695654,0.09195402298850575,0.1,0.030303030303030304
h11_gb8_m7,gb8,7,-5.3,4.461,9.448,-0.2524,21,13,0.34782608695652173,0.13793103448275862,0.15,0.06060606060606061
h11_gb7_m3,gb7,3,-5.6,4.127,6.491,-0.28,16,12,0.391304347826087,0.11494252873563218,0.05,0.015151515151515152
h11_aa10_m9,aa10,9,-5.2,10.571,14.784,-0.2261,13,15,0.2608695652173913,0.06896551724137931,0.05,0.015151515151515152
h11_aa10_m8,aa10,8,-5.2,23.529,26.053,-0.2261,14,15,0.0,0.0,0.0,0.0
h11_aa10_m7,aa10,7,-5.3,27.054,29.377,-0.2304,12,15,0.0,0.0,0.0,0.0
h11_aa10_m6,aa10,6,-5.3,11.867,16.03,-0.2304,11,15,0.30434782608695654,0.06896551724137931,0.0,0.0
h11_aa10_m5,aa10,5,-5.4,10.695,14.699,-0.2348,14,15,0.34782608695652173,0.09195402298850575,0.0,0.0
h11_aa10_m4,aa10,4,-5.5,5.389,9.931,-0.2391,9,15,0.2608695652173913,0.06896551724137931,0.1,0.030303030303030304
h11_aa10_m3,aa10,3,-5.5,5.538,9.378,-0.2391,9,15,0.2608695652173913,0.06896551724137931,0.1,0.030303030303030304
h11_aa10_m2,aa10,2,-5.6,2.81,5.09,-0.2435,15,15,0.0,0.0,0.4,0.15151515151515152
h11_aa10_m1,aa10,1,-5.7,0.0,0.0,-0.2478,15,15,0.0,0.0,0.35,0.15151515151515152
h11_fdla_m5,fdla,5,-7.3,3.893,10.586,-0.1197,24,30,0.2608695652173913,0.04597701149425287,0.45,0.12121212121212122
h11_fdla_m4,fdla,4,-7.4,10.354,15.55,-0.1213,13,30,0.2608695652173913,0.034482758620689655,0.05,0.0
h11_fdla_m7,fdla,7,-7.2,10.673,16.256,-0.118,21,30,0.34782608695652173,0.13793103448275862,0.05,0.0
h11_fdla_m6,fdla,6,-7.2,9.422,15.765,-0.118,21,30,0.34782608695652173,0.09195402298850575,0.05,0.015151515151515152
h11_fdla_m1,fdla,1,-7.8,0.0,0.0,-0.1279,30,30,0.30434782608695654,0.10344827586206896,0.45,0.16666666666666666
h11_fdla_m3,fdla,3,-7.4,4.798,10.164,-0.1213,16,30,0.30434782608695654,0.09195402298850575,0.15,0.07575757575757576
h11_fdla_m2,fdla,2,-7.5,9.971,15.671,-0.123,24,30,0.391304347826087,0.13793103448275862,0.0,0.0
h11_fdla_m9,fdla,9,-7.2,11.858,16.887,-0.118,11,30,0.2608695652173913,0.06896551724137931,0.0,0.0
h11_fdla_m8,fdla,8,-7.2,9.506,15.91,-0.118,21,30,0.2608695652173913,0.08045977011494253,0.05,0.015151515151515152
h11_gb10_m1,gb10,1,-6.0,0.0,0.0,-0.2609,16,15,0.391304347826087,0.10344827586206896,0.05,0.015151515151515152
h11_gb10_m2,gb10,2,-5.9,1.275,1.806,-0.2565,15,15,0.34782608695652173,0.09195402298850575,0.0,0.0
h11_gb10_m3,gb10,3,-5.7,7.305,11.26,-0.2478,10,15,0.08695652173913043,0.034482758620689655,0.25,0.07575757575757576
h11_gb10_m4,gb10,4,-5.6,2.603,5.13,-0.2435,26,15,0.43478260869565216,0.16091954022988506,0.05,0.030303030303030304
h11_gb10_m5,gb10,5,-5.6,2.981,4.205,-0.2435,13,15,0.2608695652173913,0.08045977011494253,0.05,0.015151515151515152
